transaction_id,customer_id,transaction_type,amount,transaction_time,merchant_category,status
T1001,101,DEPOSIT,5000.00,2026-01-15 09:15:00,Branch,COMPLETED
T1002,101,WITHDRAWAL,1200.00,2026-01-16 10:30:00,ATM,COMPLETED
T1003,102,TRANSFER,15000.00,2026-01-16 11:00:00,Online Banking,COMPLETED
T1004,103,WITHDRAWAL,800.00,2026-01-16 14:20:00,ATM,COMPLETED
T1005,104,DEPOSIT,2500.00,2026-01-17 08:45:00,Branch,COMPLETED
T1006,106,WITHDRAWAL,3000.00,2026-01-19 16:10:00,Retail,COMPLETED
T1007,107,DEPOSIT,10000.00,2026-02-01 12:00:00,Branch,COMPLETED
T1008,109,WITHDRAWAL,500.00,2026-02-03 13:15:00,ATM,FAILED
T1009,101,WITHDRAWAL,2000.00,2026-02-04 15:30:00,Online Banking,COMPLETED
T1010,111,DEPOSIT,4000.00,2026-02-05 10:00:00,Branch,COMPLETED
T1011,112,TRANSFER,25000.00,2026-02-06 11:45:00,Wire Transfer,COMPLETED
T1012,112,WITHDRAWAL,5000.00,2026-02-06 14:00:00,ATM,COMPLETED
T1013,114,WITHDRAWAL,300.00,2026-02-08 17:30:00,ATM,COMPLETED
T1014,115,DEPOSIT,8000.00,2026-02-09 09:00:00,Branch,COMPLETED
T1015,102,WITHDRAWAL,1200.00,2026-02-10 10:15:00,Retail,COMPLETED
T1016,101,DEPOSIT,3000.00,2026-02-11 11:30:00,Branch,COMPLETED
T1017,103,DEPOSIT,1000.00,2026-02-12 12:00:00,Branch,COMPLETED
T1018,106,DEPOSIT,2000.00,2026-02-13 14:00:00,Branch,COMPLETED
T1019,107,WITHDRAWAL,1500.00,2026-02-14 15:45:00,ATM,FAILED
T1020,112,DEPOSIT,10000.00,2026-02-15 16:30:00,Branch,COMPLETED
